"","X1_LD","X2_LDV","X3_SD","X4_SDV","X5_FT10","X6_FT16","X7_FT22","X40_2W","X42_8W","X43_FLC","X44_FRI","X45_8W.GH.FT","X46_8W.GH.LN","X47_0W.GH.FT","X57_FT.Field","X58_FT.Diameter.Field","X59_FT.GH","X60_FT.Duration.GH","X61_LC.Duration.GH","X62_LFS.GH","X63_MT.GH","X64_RP.GH","X65_At1","X66_At1.CFU2","X67_As","X68_As.CFU2","X69_Bs","X70_Bs.CFU2","X71_At2","X72_At2.CFU2","X73_As2","X74_As2.CFU2","X80_LN10","X81_LN16","X82_LN22","X161_Germ.10","X162_Germ.16","X163_Germ.22","X164_Width.10","X165_Width.16","X166_Width.22","X167_Chlorosis.10","X168_Chlorosis.16","X169_Chlorosis.22","X170_Anthocyanin.10","X171_Anthocyanin.16","X172_Anthocyanin.22","X173_Leaf.serr.10","X174_Leaf.serr.16","X175_Leaf.serr.22","X176_Leaf.roll.10","X177_Leaf.roll.16","X178_Leaf.roll.22","X179_Rosette.Erect.22"
"8258",34,35.6,111.708,71,73,63,34,28.2,26.3,0.338,1.019,28.5,18.2,32.3,180.4,37.9897,32.6669,39.3497,89.3249,71.9444,13.2363,55.5133,1.333,4.935,2.5,5.554,8.167,4.007,1.5,4.983,2.667,5.123,31,38,31,7,3,2,2,8.6,14.5,0,0,1,0,0,0,0.5,0.75,1,1,1,1,0
"8259",37.3472,31.8,106.031,62.8333,73,51,33,27,26.5,0.364,0.883,29.9,17.1,33.1,177.328,28.0289,28.6838,23.9354,70.8352,53.4914,17.0205,41.9178,2.833,4.587,3.833,5.733,9.167,4.334,2.333,3.075,0.167,5.082,32,37,18,7,3,2,2.2,10.3,14.8,0,0,1,0,0,0,0.75,1,1,1,1,1,0
"8264",55.0333,22.3333,106.542,37.4,46,68,108,NA,18.3,NA,NA,NA,NA,NA,151.293,38.8142,74.3236,31.7243,110.352,101.273,10.272,41.4036,2.833,4.585,0.833,4.003,8.333,4.511,1.833,4.928,2.5,5.084,17,42,82,7,3,2,2.6,7.8,10.6,1,1,1,1,0,0,0.5,1,1,0,0,0,1
"8265",25,24.6,77.3333,48.5,44,30,29,20.6,NA,0.088,1.345,26.4,15.7,24.1,161.735,30.8804,23.5002,19.916,62.0282,43.5881,18.2858,38.3588,1.5,3.957,2.333,3.963,6.833,4.867,1,5.411,0.333,5.189,14,9,10,7,3,2,2.2,6.5,9.2,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"8266",200,35,NA,NA,99,180,250,NA,NA,1.266,0.701,50,61.1,200,189.44,23.8987,167.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,116,156,5,3,2,2.2,6,9.5,1,1,1,0,1,1,1,1,0.75,0,0,0,1
"8270",33.8,24.5,92.6875,47.6667,49,51,45,25.6,19.1,0.482,NA,26.3,15.5,33.9,165.781,33.8613,30.3037,20.7219,69.7997,51.0392,18.065,39.2393,0.167,2.995,0.4,4.664,8.5,3.729,0,3.949,0.333,5.399,20,32,26,7,3,2,2.6,7,11,0,0,0,0,0,1,0.5,0.75,1,0,0,0,0
"8271",28.1667,26.1667,92.7014,56.5,49,41,29,23.8,22.8,0.146,1.714,29.3,13.8,29.1,179.205,27.64,29.5171,24.5802,71.681,54.506,17.479,41.9706,3.167,5.592,2.333,5.066,5.667,3.752,0.333,3.085,0.667,5.255,15,14,11,7,4,2,2,6.6,8.2,0,1,1,0,1,1,1.5,1.5,1.5,0,0,0,0
"8274",63.0417,32.6,93.0417,56.5,74,87,89,55.8,24.2,NA,NA,28.4,19.7,57.9,150.84,37.4564,61.2333,30.8578,98.6859,91.7826,8.16857,38.5749,4.5,5.911,3.5,4.34,8.5,4.621,2,4.015,3.167,5.646,51,53,64,7,3,3,2.2,8,9.5,0,1,1,0,1,0,0.5,0.5,0.75,0,0,0,1
"8275",34.5,29,105.042,81,68,52,51,32.8,25.8,0.899,0.704,31.1,17.2,34.4,166.058,33.0282,27.5456,21.416,66.5619,49.1278,17.0362,38.7537,2.333,4.778,2,3.416,5.6,3.938,0.5,4.912,1.5,5.291,30,27,29,7,3,3,2.5,6.2,9,1,0,0,0,1,1,1.5,1,1.5,0,0,0,0
"8283",200,34.2,200,131.6,71,84,250,NA,25.4,2.073,1.85,NA,NA,200,178.506,35.7086,32.4035,20.3714,72.239,52.4478,25.9367,42.3136,1.333,4.759,0.6,4.631,2.75,5.612,0,4.539,1.333,3.999,37,47,298,7,3,2,2.1,8.4,10.5,0,0,1,0,1,1,0.5,1,1.5,0,0,0,0
"8284",77.0417,30,89.825,67.3333,61,72,41,29,21.2,0.85,0.696,28.9,18.3,NA,171.937,33.8761,78.3485,27.0325,108.406,98.0968,9.77454,37.1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,47,41,7,3,2,2.6,8.2,10,0,0,0,0,1,0,0.5,0.75,1,0,0,1,1
"8285",35.8403,23.5,88.3403,59,70,51,37,22.4,18.3,0.06,0.623,28.2,15.3,28,165.986,36.359,28.0015,16.9662,61.9456,45.1416,16.9664,34.0019,0.333,3.652,1.333,5.118,3.833,4.174,0,4.375,0.5,4.47,28,31,42,7,3,2,1.9,5.8,13.6,0,1,1,0,1,1,1,0.75,0.75,0,0,0,0
"8290",27.3333,23.3333,71.5,33.6,50,41,28,22.4,16.1,0.157,0.402,23,13.6,25.7,149.589,26.9066,25.0504,19.3802,61.4767,44.4216,16.946,36.3533,2.833,4.464,1.5,3.553,0.5,4.095,0.333,2.858,0,3.242,18,12,11,7,3,2,2.7,8.7,12.6,0,1,1,1,1,1,1,1.5,1,1,0,0,0
"8296",29.3403,23.8333,77.6667,56.8333,45,29,28,19,18,0.127,1.152,NA,12,26.5,157.395,36.7109,22.0923,20.9147,58.5728,42.4169,16.3006,36.8841,0.5,4.386,0,4.377,7.333,3.178,0.167,4.214,0.667,4.862,13,11,10,7,3,2,2.2,10,11.7,1,0,0,1,1,0,0,0,0,1,0,0,0
"8297",200,27,200,68.6667,73,104,247,67.3,NA,4.352,1.253,31.8,22.3,200,170.385,33.0638,148.301,NA,NA,NA,NA,NA,3.833,5.639,2.667,4.3,8.833,4.263,0.833,4.079,2.167,4.821,40,55,264,5,3,3,3,7.5,7.5,1,1,1,0,1,1,0.5,0.5,0.5,1,0,0,0
"8300",35.4083,27.6667,88.0208,92,61,51,40,NA,NA,0.175,NA,25.9,15.1,28.4,159.506,28.3226,29.3336,21.7801,67.0282,51.1431,15.5501,37.5255,1.333,4.614,0.667,4.415,5.333,5.401,0.333,3.467,0.333,4.561,31,28,25,7,3,2,2.6,7.6,9.9,0,0,1,1,1,1,0.5,0.5,0.5,1,0,0,0
"8306",72.0417,37.8,200,100.167,96,49,250,125,33.4,0.81,0.804,34.8,24.5,200,198.006,26.0793,NA,NA,NA,NA,NA,NA,6.167,5.86,3,4.917,7.4,3.3,4.167,5.719,2.5,4.87,50,34,230,5,3,2,2.8,6.2,8.5,1,1,1,1,0,0,1,0.75,0.75,0,0,0,1
"8310",26,31,77.3403,57.5,49,31,28,18,15.8,0.184,0.737,24.6,13.6,24.1,175.56,42.2638,22.198,20.2413,59.9176,42.5071,17.3556,37.7066,1,3.916,0.333,3.972,5.667,5.158,0.333,4.982,1.167,5.499,16,13,13,7,3,2,2.5,10.5,12.3,0,0,1,0,1,1,0,0.5,0.5,1,0,0,0
"8311",30.5,22,114.792,57,49,51,48,NA,NA,1.516,1.009,25.1,15.3,36.2,157.679,30.8413,57.4866,23.7801,94.6834,81.4429,13.4664,37.2972,0.667,3.74,2.333,3.141,7.167,3.395,0,4.516,0,4.212,14,31,38,5,3,2,2.7,7.5,11.8,0,0,0,0,0,0,0,0.5,0.5,1,0,0,1
"8312",29.8333,25,81,46.8,66,41,35,25.8,20.9,0.328,0.449,29,19.6,30.1,162.635,41.6808,26.152,20.0164,63.3615,46.1187,16.6758,37.011,0.333,2.965,1.833,4.643,2,3.492,0,3.616,1.167,4.829,38,15,13,7,3,2,2.5,9.5,15.5,0,0,0,0,0,0,0.5,0.5,0.5,1,0,1,0
